  Cps/Mbq 161.763   65.991         
  2 b01   b02 b03 b04 b05   b10 b11 b12 b13
 282 564 1.809  282 0.002744 1.525 0.2477 0  282 0 0.02721 0.007174 0
 283 566 1.692  283 0.001835 1.424 0.2194 0  283 0 0.04402 0.003018 0
 284 568 1.363  284 0.0006711 1.144 0.1948 0  284 0 0.01494 0.008555 0
 285 570 1.138  285 0.001054 0.9973 0.1017 0  285 0 0.02761 0.01057 0
 286 572 0.8547  286 0.001343 0.7232 0.08717 0  286 0.0001916 0.0428 0 0
 287 574 0.789  287 0.0004609 0.64 0.1094 0  287 0 0.02905 0.01012 0
 288 576 0.5572  288 0.0002997 0.4662 0.05739 0  288 0 0.03335 0 0
 289 578 0.6362  289 0.001217 0.4982 0.09817 0  289 0 0.02367 0.0149 0
 290 580 0.5053  290 0 0.3717 0.09253 0  290 0 0.02591 0.01512 0
 291 582 0.3972  291 0.0007091 0.3075 0.05907 0  291 0 0.02224 0.007637 0
 292 584 0.3585  292 0.0004635 0.2896 0.05654 0  292 0 0.01195 0 0
 293 586 0.3592  293 0.0001733 0.2565 0.06304 0  293 0 0.03112 0.008345 0
 294 588 0.2674  294 0.0003128 0.1626 0.07174 0  294 0.0003663 0.02452 0.007864 0
 295 590 0.3176  295 0.00002208 0.2125 0.07947 0  295 0 0.02358 0.001994 0
 296 592 0.2962  296 0.0002461 0.1827 0.08149 0  296 0 0.02713 0.004645 0
 297 594 0.2229  297 0.0003007 0.1517 0.04227 0  297 0 0.0286 0 0
 298 596 0.2395  298 0.00008214 0.1811 0.04915 0  298 0 0.001244 0.007904 0
 299 598 0.2723  299 0.000183 0.1662 0.06891 0  299 0 0.03693 0 0
